Name,Household Income,Per Capita Income,Population,Median Age,Median Rent,Average Year Home Built,Median Home Value,Median Mortgage Cost,state,Zipcode
ZCTA5 77060,25968.0,11077.0,45648.0,25.5,578.0,1976.0,275976100.0,1199.0,48,77060
ZCTA5 77061,33828.0,17714.0,25155.0,30.0,557.0,1968.0,410046800.0,1251.0,48,77061
ZCTA5 77062,84051.0,38483.0,26448.0,40.0,903.0,1981.0,,1635.0,48,77062
ZCTA5 77063,46285.0,35276.0,36772.0,32.4,791.0,1978.0,1449048600.0,1439.0,48,77063
ZCTA5 77064,63594.0,27872.0,47361.0,34.0,908.0,1993.0,1397709700.0,1394.0,48,77064
ZCTA5 77065,53769.0,29309.0,38652.0,33.7,860.0,1994.0,1140309300.0,1418.0,48,77065
ZCTA5 77066,60816.0,22429.0,32860.0,32.7,782.0,1984.0,812515400.0,1330.0,48,77066
ZCTA5 77067,38720.0,16126.0,31966.0,28.4,615.0,1985.0,,1189.0,48,77067
ZCTA5 77068,71276.0,36939.0,11015.0,40.2,839.0,1980.0,,1742.0,48,77068
ZCTA5 77069,67618.0,49024.0,17286.0,45.8,905.0,1986.0,,1800.0,48,77069
ZCTA5 77070,69929.0,33617.0,49622.0,33.1,959.0,1995.0,1635503100.0,1536.0,48,77070
ZCTA5 77071,46871.0,23769.0,28003.0,35.9,597.0,1978.0,792011900.0,1367.0,48,77071
ZCTA5 77072,37060.0,15143.0,58871.0,33.0,692.0,1978.0,,1202.0,48,77072
ZCTA5 77073,53450.0,20109.0,42085.0,27.7,774.0,2001.0,723697800.0,1361.0,48,77073
ZCTA5 77074,34529.0,17003.0,36764.0,32.3,636.0,1970.0,,1280.0,48,77074
ZCTA5 77075,46043.0,17747.0,42569.0,28.9,706.0,1991.0,,1310.0,48,77075
ZCTA5 77076,31093.0,11442.0,34467.0,27.1,639.0,1964.0,395077700.0,1121.0,48,77076
ZCTA5 77077,63559.0,43313.0,54931.0,34.3,896.0,1986.0,,1793.0,48,77077
ZCTA5 77078,31118.0,12421.0,16325.0,30.1,646.0,1974.0,251781800.0,1070.0,48,77078
ZCTA5 77079,100367.0,54190.0,33013.0,39.8,989.0,1973.0,,2419.0,48,77079
ZCTA5 77080,40983.0,18618.0,47080.0,31.1,689.0,1972.0,,1381.0,48,77080
ZCTA5 77081,27187.0,15944.0,45039.0,30.1,640.0,1974.0,,2018.0,48,77081
